ts_s,ts_ms,Sensor1_raw,Sensor2_raw,Sensor3_raw,Sensor4_raw,Sensor5_raw,Sensor6_raw,Sensor7_raw,Sensor8_raw,Sensor9_raw,Sensor10_raw
2099,2098896,25.75,26.25,25.75,30.75,26.0,26.25,26.0,26.0,26.0,26.5
2101,2100896,25.75,26.25,25.75,30.75,26.0,26.25,26.0,26.0,26.0,26.5
2103,2102896,25.75,26.25,25.75,30.75,26.0,26.25,26.0,26.0,26.0,26.5
2105,2104896,25.75,26.25,26.0,30.75,26.0,26.25,26.0,26.0,26.0,26.5
2107,2106896,25.75,26.25,25.75,30.75,26.0,26.25,26.0,26.0,26.0,26.5
2109,2108896,25.75,26.25,26.0,30.5,26.0,26.25,26.0,26.0,26.0,26.5
2111,2110896,25.75,26.25,25.75,30.5,26.0,26.25,26.0,26.0,26.0,26.5
2113,2112896,25.75,26.25,25.75,30.5,26.0,26.25,26.0,26.0,26.0,26.5
2115,2114896,25.75,26.25,25.75,30.5,26.0,26.25,26.0,26.0,26.0,26.5
2117,2116896,25.75,26.25,25.75,30.25,26.0,26.25,26.0,26.0,26.0,26.5
2119,2118896,25.75,26.25,25.75,30.25,26.0,26.25,26.0,26.0,26.0,26.5
2121,2120896,25.75,26.25,25.75,30.25,26.0,26.25,26.0,26.0,26.0,26.5
2123,2122896,25.75,26.25,25.75,30.25,26.0,26.25,26.0,26.0,26.0,26.5
2125,2124896,25.75,26.25,25.75,30.25,26.0,26.25,26.0,26.0,26.0,26.5
2127,2126896,25.75,26.25,25.75,30.25,26.0,26.25,26.0,26.0,26.0,26.5
2129,2128896,25.75,26.25,25.75,30.0,26.0,26.25,26.0,26.0,26.0,26.5
2131,2130896,25.75,26.25,25.75,30.0,26.0,26.25,26.0,26.0,26.0,26.5
2133,2132896,25.75,26.25,25.75,30.0,26.0,26.25,26.0,26.0,26.0,26.5
2135,2134896,25.75,26.25,25.75,30.0,26.0,26.25,26.0,26.0,26.0,26.5
2137,2136896,25.75,26.25,25.75,30.0,26.0,26.25,26.0,26.0,26.0,26.5
3,2580,25.75,26.25,25.75,29.75,26.0,26.25,26.0,26.0,26.0,26.5
5,4880,25.75,26.25,25.75,29.75,26.0,26.25,26.0,26.0,26.0,26.5
7,6880,25.75,26.25,25.75,29.75,26.0,26.25,26.0,26.0,26.0,26.5
9,8880,25.75,26.25,25.75,29.75,26.0,26.25,26.0,26.0,26.0,26.5
11,10880,25.75,26.25,25.75,29.75,26.0,26.25,26.0,26.0,26.0,26.5
13,12880,25.75,26.25,25.75,29.5,26.0,26.25,26.0,26.0,26.0,26.5
15,14880,25.75,26.25,25.75,29.5,26.0,26.25,26.0,26.0,26.0,26.5
17,16880,25.75,26.25,26.0,29.5,26.0,26.25,26.0,26.0,26.0,26.5
19,18880,25.75,26.25,25.75,29.5,26.0,26.25,26.0,26.0,26.0,26.5
21,20880,25.75,26.25,25.75,29.5,26.0,26.25,26.0,26.0,26.0,26.5
23,22880,25.75,26.25,25.75,29.5,26.0,26.25,26.0,26.0,26.0,26.5
25,24880,25.75,26.25,25.75,29.25,26.0,26.25,26.0,26.0,26.0,26.5
27,26880,25.75,26.25,25.75,29.25,26.0,26.25,26.0,26.0,26.0,26.5
29,28880,25.75,26.25,25.75,29.25,26.0,26.25,26.0,26.0,26.0,26.5
31,30880,25.75,26.25,25.75,29.25,26.0,26.25,26.0,26.0,26.0,26.5
33,32880,25.75,26.25,26.0,29.25,26.0,26.25,26.0,26.0,26.0,26.5
35,34880,25.75,26.25,25.75,29.25,26.0,26.25,26.0,26.0,26.0,26.5
37,36880,25.75,26.25,25.75,29.25,26.0,26.25,26.0,26.0,26.0,26.5
39,38880,25.75,26.25,25.75,29.0,26.0,26.25,26.0,26.0,26.0,26.5
41,40880,25.75,26.25,25.75,29.0,26.0,26.25,26.0,26.0,26.0,26.5
43,42880,25.75,26.25,25.75,29.0,26.0,26.25,26.0,26.0,26.0,26.5
45,44880,25.75,26.25,25.75,29.0,26.0,26.25,26.0,26.0,26.0,26.5
